"Variable","type","Minimum Target","filter","name","Achieved","Percent to Goal"
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Canso Bank and Channels",3.41,17
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Misaine Bank and Laurentian Channel",1.96,9.8
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Eastern Shoal",0.09,0.4
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Cold Seeps",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Fundian Channel-Browns Bank",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Logan Canyon",0.83,4.1
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","St. Anns Bank Marine Protected Area ",4.53,22.7
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Jordan Basin Marine Refuge",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Bay of Fundy Horse Mussel Aggregations",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Gully Marine Protected Area",0.17,0.9
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Pemsɨk",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Southern Bight",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Cobequid Bay",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Chignecto Bay",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","West Isles and Passages",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Chebogue",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","LaHave Islands",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Sambro Ledges - Prospect",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Brier Island",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","South Grand Manan",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Eel Bay",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","McNutts Island",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Martinique Beach & Musquodoboit Harbour ",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","St. Mary’s (Napu’saqnuk) River and Estuary",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Country Island",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Canso Ledges - Sugar Harbour Islands",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","MacNamaras Islands",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Fleur de Lis Coast",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Ingonish",0.17,0.9
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Aspy Bay",0,0
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter","Big Glace Bay Lake Migratory Bird Sanctuary",0,0
"Areas of high invertebrate species richness (West)","Biodiversity hotspot",20,"Fine-filter","Bird Islands",0,0
"Areas of high invertebrate species richness (West)","Biodiversity hotspot",20,"Fine-filter","Eastern Shore Islands",0,0
"Areas of high invertebrate species richness (West)","Biodiversity hotspot",20,"Fine-filter","Port Hebert Bird Sanctuary",0,0
"Areas of high invertebrate species richness (West)","Biodiversity hotspot",20,"Fine-filter","Machias Seal Island Bird Sanctuary",0,0
"Areas of high invertebrate species richness (West)","Biodiversity hotspot",20,"Fine-filter","Grand Manan Bird Sanctuary",0,0
"Areas of high invertebrate species richness (West)","Biodiversity hotspot",20,"Fine-filter","Sable River Bird Sanctuary",0,0
"Areas of high invertebrate species richness (West)","Biodiversity hotspot",20,"Fine-filter","Port Joli Bird Sanctuary",0,0
"Areas of high invertebrate species richness (West)","Biodiversity hotspot",20,"Fine-filter","Musquash Estuary Marine Protected Area",0,0
"Areas of high invertebrate species richness (West)","Biodiversity hotspot",20,"Fine-filter","Kejimkujik Seaside National Park and Historic Site",0,0
"Areas of high invertebrate species richness (West)","Biodiversity hotspot",20,"Fine-filter","Boot Island National Wildlife Area",0,0
"Areas of high invertebrate species richness (West)","Biodiversity hotspot",20,"Fine-filter","John Lusby Marsh National Wildlife Area",0,0
"Areas of high invertebrate species richness (West)","Biodiversity hotspot",20,"Fine-filter","Long Eddy",0,0
